=== Task 4a – Correctness ===
  correctness check passed: power-of-2 (512×64)
  correctness check passed: non-power-of-2 (500×70)
  correctness check passed: non-power-of-2 (1000×96)

=== Task 4b – Bandwidth Sweep ===
  N= 107  elapsed=  30.56 µs  bandwidth=28.68 GB/s
  N= 108  elapsed=  30.56 µs  bandwidth=28.95 GB/s
  N= 109  elapsed=  30.54 µs  bandwidth=29.24 GB/s
  N= 110  elapsed=  30.58 µs  bandwidth=29.47 GB/s
  N= 111  elapsed=  30.52 µs  bandwidth=29.80 GB/s
  N= 112  elapsed=  30.55 µs  bandwidth=30.03 GB/s
  N= 113  elapsed=  30.59 µs  bandwidth=30.26 GB/s
  N= 114  elapsed=  30.57 µs  bandwidth=30.55 GB/s
  N= 115  elapsed=  30.51 µs  bandwidth=30.88 GB/s
  N= 116  elapsed=  30.52 µs  bandwidth=31.14 GB/s
  N= 117  elapsed=  30.48 µs  bandwidth=31.44 GB/s
  N= 118  elapsed=  30.50 µs  bandwidth=31.69 GB/s
  N= 119  elapsed=  30.55 µs  bandwidth=31.91 GB/s
  N= 120  elapsed=  30.44 µs  bandwidth=32.29 GB/s
  N= 121  elapsed=  30.51 µs  bandwidth=32.49 GB/s
  N= 122  elapsed=  30.49 µs  bandwidth=32.78 GB/s
  N= 123  elapsed=  30.47 µs  bandwidth=33.07 GB/s
  N= 124  elapsed=  30.51 µs  bandwidth=33.29 GB/s
  N= 125  elapsed=  30.52 µs  bandwidth=33.55 GB/s
  N= 126  elapsed=  30.54 µs  bandwidth=33.80 GB/s
  N= 127  elapsed=  30.36 µs  bandwidth=34.27 GB/s
  N= 128  elapsed=   3.90 µs  bandwidth=269.07 GB/s

Plot gespeichert in task4_bw.png
